request_id,affordability_status,recommended_payment_method,currency,lowest_projected_balance,lowest_balance_date,minimum_balance_to_keep,margin_above_minimum,buffer_days,risk_level
request_93,affordable_now,full_payment,USD,1998.8,2026-04-12,1900.0,98.8,2.1,tight
request_94,affordable_now,full_payment,EUR,1913.62,2024-12-13,600.0,1313.62,70.8,comfortable
request_95,not_affordable,not_recommended,INR,148927.74,2025-05-20,145500.0,3427.74,0.5,blocked
request_96,affordable_with_plan,installments,INR,63850.77,2026-03-12,56500.0,7350.77,3.6,tight
request_97,affordable_with_plan,installments,ZAR,31123.55,2024-03-11,29700.0,1423.55,2.0,tight
request_98,affordable_later,wait,ZAR,36500.22,2025-08-13,30000.0,6500.22,7.5,moderate
request_99,affordable_with_plan,full_payment,ZAR,49400.46,2026-07-12,49100.0,300.46,0.4,tight
request_100,affordable_with_plan,installments,ZAR,36524.02,2024-08-14,32500.0,4024.02,4.0,tight
request_101,affordable_now,full_payment,INR,194853.81,2025-11-14,187400.0,7453.81,1.6,tight
request_102,affordable_with_plan,installments,EUR,3739.78,2026-04-13,900.0,2839.78,120.0,comfortable
request_103,not_affordable,not_recommended,INR,126256.26,2024-09-14,125500.0,756.26,0.2,blocked
request_104,affordable_now,full_payment,ZAR,29386.65,2025-02-12,24700.0,4686.65,5.1,tight
request_105,affordable_with_plan,full_payment,INR,74114.78,2026-06-14,73900.0,214.78,0.1,tight
request_106,affordable_later,wait,EUR,1659.88,2024-12-12,1200.0,459.88,11.2,moderate
request_107,affordable_with_plan,installments,EUR,1621.28,2025-07-13,1600.0,21.28,0.4,tight
request_108,affordable_later,wait,ZAR,26160.73,2026-07-13,24100.0,2060.73,4.7,tight
request_109,affordable_with_plan,installments,EUR,1860.22,2024-05-14,1700.0,160.22,2.7,tight
request_110,affordable_with_plan,installments,ZAR,52236.44,2025-08-07,11200.0,41036.44,126.1,comfortable
request_111,affordable_now,full_payment,IDR,28492433.92,2026-06-14,23022800.0,5469633.92,12.4,moderate
request_112,affordable_now,full_payment,EUR,517.85,2024-06-12,500.0,17.85,1.1,tight
request_113,affordable_later,wait,INR,101141.69,2026-09-14,82300.0,18841.69,7.0,tight
request_114,affordable_later,wait,INR,125513.78,2026-02-13,113400.0,12113.78,3.3,tight
request_115,affordable_later,wait,INR,53215.95,2024-09-13,38800.0,14415.95,14.8,moderate
request_116,not_affordable,not_recommended,INR,90048.02,2025-02-14,80300.0,9748.02,2.9,blocked
request_117,affordable_with_plan,full_payment,EUR,1010.24,2026-07-12,1000.0,10.24,0.6,tight
request_118,affordable_with_plan,installments,EUR,996.53,2024-12-14,600.0,396.53,18.9,moderate
request_119,affordable_with_plan,installments,INR,153912.69,2025-07-14,151200.0,2712.69,0.9,tight
request_120,affordable_now,full_payment,IDR,20853621.56,2026-04-11,20050300.0,803321.56,1.7,tight
request_121,affordable_now,full_payment,USD,852.2,2024-03-14,800.0,52.2,2.6,tight
request_122,affordable_with_plan,installments,IDR,46310501.99,2025-08-13,12588500.0,33722001.99,126.9,comfortable
request_123,affordable_now,full_payment,IDR,18305502.26,2026-04-04,18091200.0,214302.26,0.5,tight
request_124,affordable_with_plan,installments,EUR,1641.05,2024-08-12,1600.0,41.05,0.8,tight
request_125,affordable_later,wait,ZAR,13064.51,2025-12-14,11300.0,1764.51,5.0,tight
request_126,affordable_now,full_payment,INR,185913.67,2026-07-07,129700.0,56213.67,21.5,moderate
request_127,affordable_later,wait,ZAR,46743.85,2024-11-14,41000.0,5743.85,4.7,tight
request_128,affordable_now,full_payment,ZAR,43871.96,2025-02-13,42600.0,1271.96,1.4,tight
request_129,not_affordable,not_recommended,USD,909.51,2026-04-12,800.0,109.51,5.7,blocked
request_130,affordable_later,wait,USD,1766.17,2024-12-14,1400.0,366.17,7.6,moderate
request_131,affordable_with_plan,installments,USD,1241.33,2025-07-15,1100.0,141.33,3.7,tight
request_132,affordable_later,wait,USD,1106.85,2026-02-13,1100.0,6.85,0.2,tight
request_133,not_affordable,not_recommended,IDR,10558688.4,2024-06-02,9986200.0,572488.4,2.0,blocked
request_134,affordable_later,wait,IDR,20290668.22,2025-08-14,15902500.0,4388168.22,8.8,moderate
request_135,affordable_with_plan,full_payment,USD,502.85,2026-07-14,500.0,2.85,0.2,tight
request_136,affordable_with_plan,full_payment,USD,1108.89,2024-06-14,1100.0,8.89,0.2,tight
request_137,affordable_later,wait,INR,97294.87,2025-11-12,71800.0,25494.87,7.9,moderate
request_138,affordable_with_plan,partial_payment,EUR,2300.0,2026-04-13,2300.0,0.0,0.0,tight
request_139,affordable_with_plan,installments,USD,1550.13,2024-11-12,1500.0,50.13,1.3,tight
request_140,not_affordable,not_recommended,ZAR,23164.19,2025-02-12,21600.0,1564.19,1.7,blocked
request_141,not_affordable,not_recommended,INR,86281.19,2026-01-14,67300.0,18981.19,8.0,blocked
request_142,affordable_now,full_payment,USD,4633.35,2024-12-07,1700.0,2933.35,81.0,comfortable
request_143,affordable_later,wait,ZAR,13846.83,2025-05-14,11300.0,2546.83,6.7,tight
request_144,affordable_now,full_payment,USD,615.05,2026-07-12,600.0,15.05,0.6,tight
request_145,affordable_with_plan,installments,INR,182457.82,2024-03-13,155400.0,27057.82,4.8,tight
request_146,not_affordable,not_recommended,INR,124693.18,2025-08-13,108600.0,16093.18,5.8,blocked
request_147,affordable_with_plan,installments,EUR,987.39,2026-04-14,900.0,87.39,3.0,tight
request_148,affordable_with_plan,installments,ZAR,20017.11,2024-06-14,20000.0,17.11,0.0,tight
request_149,affordable_with_plan,installments,ZAR,47620.69,2026-01-13,42100.0,5520.69,4.2,tight
request_150,affordable_with_plan,installments,EUR,706.83,2026-02-13,700.0,6.83,0.3,tight
request_151,affordable_now,full_payment,IDR,32199877.78,2024-09-14,31633600.0,566277.78,0.7,tight
request_152,affordable_with_plan,installments,ZAR,12048.7,2025-04-12,11900.0,148.7,0.4,tight
request_153,not_affordable,not_recommended,USD,1413.59,2026-07-14,1400.0,13.59,0.3,blocked
request_154,affordable_with_plan,installments,EUR,2726.77,2025-02-13,1300.0,1426.77,32.3,comfortable
request_155,affordable_now,full_payment,INR,76456.46,2025-05-14,56300.0,20156.46,13.9,moderate
request_156,affordable_later,wait,ZAR,35443.43,2026-04-11,26900.0,8543.43,15.6,moderate
request_157,affordable_later,wait,IDR,20424439.55,2024-03-14,15714100.0,4710339.55,9.5,moderate
request_158,affordable_with_plan,installments,INR,647441.89,2025-08-07,131400.0,516041.89,122.0,comfortable
request_159,not_affordable,not_recommended,ZAR,8859.61,2026-04-04,8700.0,159.61,0.5,blocked
request_160,affordable_with_plan,installments,EUR,1338.24,2024-06-13,1200.0,138.24,3.9,tight
request_161,affordable_later,wait,IDR,29769052.93,2025-11-13,23010400.0,6758652.93,10.5,moderate
request_162,not_affordable,not_recommended,IDR,25494426.79,2026-07-13,24161100.0,1333326.79,3.6,blocked
request_163,affordable_with_plan,installments,IDR,28807564.12,2024-09-14,26728700.0,2078864.12,2.7,tight
request_164,affordable_with_plan,installments,IDR,49628765.99,2025-02-13,29550500.0,20078265.99,24.5,moderate
request_165,affordable_now,full_payment,INR,103303.63,2026-07-02,95000.0,8303.63,4.1,tight
request_166,affordable_with_plan,installments,USD,7091.63,2025-02-07,1700.0,5391.63,117.2,comfortable
request_167,affordable_now,full_payment,ZAR,36564.68,2025-05-19,31200.0,5364.68,4.6,tight
request_168,affordable_with_plan,partial_payment,INR,114400.0,2026-01-13,114400.0,-0.0,-0.0,tight
request_169,affordable_now,full_payment,ZAR,23665.6,2024-03-14,18700.0,4965.6,6.1,tight
request_170,affordable_with_plan,installments,IDR,32265469.79,2025-10-14,24715800.0,7549669.79,7.9,moderate
request_171,not_affordable,not_recommended,EUR,534.86,2026-07-12,500.0,34.86,3.2,blocked
request_172,affordable_with_plan,partial_payment,ZAR,27200.0,2024-06-12,27200.0,-0.0,-0.0,tight
request_173,affordable_with_plan,installments,INR,91076.77,2026-01-14,79100.0,11976.77,4.5,tight
request_174,affordable_with_plan,installments,EUR,754.38,2026-07-03,700.0,54.38,3.8,tight
request_175,affordable_now,full_payment,EUR,1908.16,2024-09-14,1700.0,208.16,5.1,tight
request_176,affordable_later,wait,EUR,710.07,2025-05-01,600.0,110.07,5.3,tight
request_177,affordable_now,full_payment,USD,1387.24,2026-01-14,1300.0,87.24,2.1,tight
request_178,affordable_with_plan,installments,EUR,6622.12,2025-02-07,1400.0,5222.12,132.9,comfortable
request_179,affordable_later,wait,IDR,47905555.22,2025-05-13,41430800.0,6474755.22,5.4,tight
request_180,affordable_now,full_payment,INR,47526.42,2026-07-12,37300.0,10226.42,6.7,tight
request_181,not_affordable,not_recommended,USD,2287.07,2024-03-12,2000.0,287.07,4.8,blocked
request_182,affordable_now,full_payment,ZAR,42468.2,2025-08-13,31100.0,11368.2,13.2,moderate
request_183,affordable_with_plan,installments,IDR,14091151.65,2026-06-14,11878300.0,2212851.65,4.2,tight
request_184,not_affordable,not_recommended,INR,118431.21,2024-06-13,110800.0,7631.21,2.3,blocked
request_185,affordable_later,wait,EUR,1617.59,2025-11-13,1300.0,317.59,8.2,moderate
request_186,affordable_later,wait,ZAR,26245.48,2026-01-13,22000.0,4245.48,5.0,tight
request_187,affordable_later,wait,INR,166614.3,2024-09-13,128300.0,38314.3,15.4,moderate
request_188,not_affordable,not_recommended,EUR,1005.28,2025-02-13,900.0,105.28,2.6,blocked
request_189,affordable_now,full_payment,EUR,473.44,2026-07-11,400.0,73.44,8.6,moderate
request_190,affordable_later,wait,EUR,2101.6,2024-12-14,1600.0,501.6,7.4,moderate
request_191,affordable_now,full_payment,EUR,599.96,2025-05-14,500.0,99.96,8.0,moderate
request_192,not_affordable,not_recommended,USD,1094.78,2026-05-11,1000.0,94.78,3.9,blocked
request_193,affordable_with_plan,installments,EUR,1032.93,2024-03-14,1000.0,32.93,1.0,tight
request_194,affordable_later,wait,INR,147565.25,2025-08-17,113600.0,33965.25,11.1,moderate
request_195,affordable_with_plan,installments,EUR,814.31,2026-03-14,700.0,114.31,3.6,tight
request_196,affordable_now,full_payment,EUR,666.4,2024-06-10,500.0,166.4,10.9,moderate
request_197,affordable_with_plan,installments,IDR,34179942.28,2026-01-14,26245900.0,7934042.28,7.5,moderate
request_198,affordable_now,full_payment,INR,159022.1,2026-07-14,124300.0,34722.1,13.7,moderate
request_199,affordable_with_plan,installments,IDR,39264491.86,2024-11-16,25359500.0,13904991.86,17.4,moderate
request_200,affordable_now,full_payment,IDR,24185465.49,2025-02-13,20114600.0,4070865.49,8.8,moderate
request_201,affordable_now,full_payment,IDR,19400568.92,2026-07-02,17304500.0,2096068.92,5.5,tight
request_202,affordable_now,full_payment,INR,168407.66,2024-12-14,147800.0,20607.66,4.5,tight
request_203,affordable_with_plan,installments,EUR,7359.25,2025-05-11,1400.0,5959.25,104.0,comfortable
request_204,affordable_later,wait,EUR,1378.94,2026-02-13,1300.0,78.94,1.5,tight
request_205,affordable_now,full_payment,IDR,15529566.13,2024-03-13,13994300.0,1535266.13,3.4,tight
request_206,affordable_with_plan,installments,EUR,4136.5,2025-09-07,900.0,3236.5,119.0,comfortable
request_207,affordable_later,wait,ZAR,15048.18,2026-08-12,13600.0,1448.18,4.2,tight
request_208,affordable_later,wait,IDR,12257743.52,2024-07-11,10470700.0,1787043.52,5.8,tight
request_209,not_affordable,not_recommended,ZAR,19985.14,2025-11-14,18400.0,1585.14,4.6,blocked
request_210,affordable_with_plan,partial_payment,USD,2000.0,2026-04-13,2000.0,0.0,0.0,tight
request_211,affordable_later,wait,EUR,1772.3,2024-09-13,1500.0,272.3,6.9,tight
request_212,not_affordable,not_recommended,IDR,33817548.3,2025-02-16,29579800.0,4237748.3,4.6,blocked
request_213,affordable_with_plan,installments,USD,2148.54,2026-04-07,2100.0,48.54,0.7,tight
request_214,affordable_with_plan,partial_payment,INR,174900.0,2024-12-14,174900.0,-0.0,-0.0,tight
request_215,affordable_with_plan,installments,ZAR,18699.65,2025-08-04,15700.0,2999.65,6.2,tight
request_216,affordable_later,wait,USD,2272.98,2026-07-09,1800.0,472.98,14.9,moderate
request_217,affordable_with_plan,installments,ZAR,32587.03,2024-05-12,26800.0,5787.03,6.5,tight
request_218,affordable_with_plan,installments,IDR,37793745.92,2025-08-14,34477200.0,3316545.92,4.5,tight
request_219,affordable_with_plan,installments,EUR,1165.31,2026-05-14,1100.0,65.31,1.6,tight
request_220,not_affordable,not_recommended,EUR,1167.68,2024-06-13,1100.0,67.68,2.5,blocked
request_221,affordable_now,full_payment,INR,102747.12,2025-11-13,81500.0,21247.12,7.9,moderate
request_222,affordable_now,full_payment,ZAR,82039.8,2026-01-07,27300.0,54739.8,94.6,comfortable
request_223,affordable_now,full_payment,EUR,990.9,2024-09-14,800.0,190.9,7.8,moderate
request_224,affordable_with_plan,partial_payment,IDR,22187600.0,2025-02-12,22187600.0,0.0,0.0,tight
request_225,affordable_with_plan,installments,IDR,21258495.8,2026-09-12,17670700.0,3587795.8,5.8,tight
request_226,affordable_now,full_payment,INR,236721.98,2024-12-13,209400.0,27321.98,3.4,tight
request_227,not_affordable,not_recommended,INR,70083.96,2025-05-14,62900.0,7183.96,4.7,blocked
request_228,not_affordable,not_recommended,IDR,27899045.93,2026-04-13,26191200.0,1707845.93,2.4,blocked
request_229,affordable_with_plan,installments,EUR,1196.63,2024-04-14,1000.0,196.63,7.2,moderate
request_230,affordable_now,full_payment,EUR,3972.08,2025-08-14,2000.0,1972.08,26.7,moderate
request_231,affordable_with_plan,installments,ZAR,30528.18,2026-03-14,24300.0,6228.18,5.3,tight
request_232,affordable_later,wait,EUR,2976.62,2024-07-14,2400.0,576.62,7.1,moderate
request_233,affordable_with_plan,partial_payment,IDR,10365700.0,2025-11-14,10365700.0,0.0,0.0,tight
request_234,affordable_later,wait,EUR,883.23,2026-07-12,700.0,183.23,13.3,moderate
request_235,affordable_now,full_payment,USD,817.59,2024-09-14,700.0,117.59,5.0,tight
request_236,not_affordable,not_recommended,IDR,22859910.8,2025-02-13,16768600.0,6091310.8,14.4,blocked
request_237,affordable_now,full_payment,IDR,27519850.03,2026-07-02,22431500.0,5088350.03,9.4,moderate
request_238,affordable_with_plan,installments,USD,1444.27,2025-01-14,700.0,744.27,39.0,comfortable
request_239,affordable_now,full_payment,USD,657.58,2025-05-14,600.0,57.58,2.1,tight
request_240,not_affordable,not_recommended,INR,66580.66,2026-01-12,52800.0,13780.66,8.1,blocked
request_241,affordable_with_plan,installments,IDR,26030980.3,2024-05-18,19252000.0,6778980.3,14.6,moderate
request_242,not_affordable,not_recommended,EUR,622.65,2025-08-14,600.0,22.65,0.9,blocked
request_243,affordable_now,full_payment,ZAR,22848.98,2026-07-12,19900.0,2948.98,8.1,moderate
request_244,affordable_now,full_payment,ZAR,56736.43,2024-06-12,45900.0,10836.43,7.7,moderate
request_245,affordable_later,wait,INR,119593.59,2025-11-14,94600.0,24993.59,8.0,moderate
request_246,affordable_with_plan,installments,ZAR,49219.34,2026-06-13,39300.0,9919.34,10.5,moderate
request_247,affordable_now,full_payment,EUR,1343.61,2024-09-13,1300.0,43.61,1.3,tight
request_248,affordable_with_plan,partial_payment,USD,1300.0,2025-02-12,1300.0,0.0,0.0,tight
request_249,affordable_later,wait,USD,726.48,2026-01-14,600.0,126.48,7.7,moderate
request_250,not_affordable,not_recommended,ZAR,50780.52,2024-12-12,35300.0,15480.52,14.3,blocked
request_251,not_affordable,not_recommended,EUR,4165.76,2025-05-04,1300.0,2865.76,92.0,blocked
request_252,affordable_later,wait,IDR,18930244.18,2026-07-11,15152200.0,3778044.18,13.9,moderate
request_253,affordable_with_plan,installments,EUR,2871.14,2024-05-12,2300.0,571.14,8.1,moderate
request_254,affordable_later,wait,USD,3136.46,2025-08-13,2500.0,636.46,13.3,moderate
request_255,affordable_now,full_payment,IDR,10538458.15,2026-07-04,9813900.0,724558.15,2.7,tight
request_256,affordable_with_plan,installments,INR,206475.63,2024-08-12,168600.0,37875.63,7.7,moderate
request_257,affordable_later,wait,USD,1906.13,2025-11-14,1600.0,306.13,5.9,tight
request_258,affordable_now,full_payment,USD,763.42,2026-03-13,500.0,263.42,10.9,moderate
request_259,affordable_later,wait,EUR,814.47,2024-09-13,600.0,214.47,13.1,moderate
request_260,not_affordable,not_recommended,IDR,27129099.59,2025-02-14,20727700.0,6401399.59,8.8,blocked
request_261,affordable_now,full_payment,EUR,1788.96,2026-07-10,1500.0,288.96,7.3,moderate
request_262,affordable_now,full_payment,IDR,57590723.17,2024-12-13,31018500.0,26572223.17,21.4,moderate
request_263,not_affordable,not_recommended,ZAR,29794.82,2025-05-14,24100.0,5694.82,7.5,blocked
request_264,affordable_later,wait,INR,82823.45,2026-04-11,59500.0,23323.45,14.4,moderate
request_265,affordable_now,full_payment,INR,227338.07,2024-06-02,189700.0,37638.07,6.7,tight
request_266,affordable_with_plan,installments,EUR,1075.83,2025-10-14,900.0,175.83,7.1,moderate
request_267,affordable_with_plan,installments,EUR,1754.56,2026-03-14,1500.0,254.56,5.5,tight
request_268,affordable_with_plan,installments,EUR,1605.69,2024-06-14,1400.0,205.69,4.6,tight
request_269,affordable_later,wait,ZAR,23377.6,2025-12-14,23100.0,277.6,0.3,tight
request_270,not_affordable,not_recommended,USD,1509.86,2026-07-14,1400.0,109.86,4.8,blocked
request_271,affordable_later,wait,INR,67500.59,2024-11-14,58200.0,9300.59,3.6,tight
request_272,affordable_with_plan,installments,IDR,8196871.16,2025-02-13,7508600.0,688271.16,3.8,tight
request_273,affordable_with_plan,partial_payment,IDR,18774600.0,2026-04-12,18774600.0,0.0,0.0,tight
request_274,affordable_with_plan,installments,EUR,2123.35,2025-02-13,1800.0,323.35,5.3,tight
request_275,affordable_now,full_payment,IDR,14364402.33,2025-05-14,12760100.0,1604302.33,3.4,tight
