request_id,safe_pessimistic,safe_expected,safe_optimistic
request_82,244.8,312.25,310.47
request_83,5638.38,7202.23,7522.86
request_84,18471.75,22882.55,22107.27
request_85,257176.08,444183.52,435321.73
request_86,46284.86,46300.0,46300.0
request_87,0.0,16153.19,15611.7
request_88,10420.27,10734.0,10734.0
request_89,9124517.98,9314843.97,9359946.12
request_90,2560.0,2560.0,2560.0
request_91,38.64,122.54,122.54
request_92,34034.0,34034.0,34034.0
request_93,1729.2,1729.2,1729.2
request_94,572.0,572.0,572.0
request_95,0.0,3427.74,3750.13
request_96,69837.01,72420.25,72621.19
request_97,1161.53,1423.55,1454.36
request_98,3401.68,6500.22,6618.48
request_99,16079.07,17836.66,17368.69
request_100,23915.92,25122.03,25122.03
request_101,143500.0,143500.0,143500.0
request_102,1716.0,1716.0,1716.0
request_103,0.0,756.26,1572.68
request_104,17204.0,17204.0,17204.0
request_105,0.0,51266.78,51266.78
request_106,435.53,459.88,459.88
request_107,2016.92,2428.56,2419.56
request_108,1052.07,2060.73,1873.26
request_109,359.04,480.05,469.54
request_110,22352.0,22352.0,22352.0
request_111,14185497.77,16625000.0,16625000.0
request_112,234.9,271.7,271.7
request_113,9181.05,18841.69,18904.61
request_114,46866.5,56562.79,55013.54
request_115,13816.98,14415.95,14848.08
request_116,4851.57,9748.02,9611.84
request_117,833.21,847.74,852.38
request_118,629.73,652.4,652.4
request_119,56391.17,58688.62,59015.02
request_120,7714000.0,7714000.0,7714000.0
request_121,633.6,633.6,633.6
request_122,20558000.0,20558000.0,20558000.0
request_123,0.0,4076000.0,4076000.0
request_124,1348.84,1403.32,1402.01
request_125,5496.69,5767.32,5798.68
request_126,159600.0,159600.0,159600.0
request_127,5483.26,7255.44,7490.31
request_128,25168.0,25168.0,25168.0
request_129,92.64,109.51,113.98
request_130,316.52,366.17,366.17
request_131,1056.44,1138.46,1138.46
request_132,200.61,256.36,263.35
request_133,0.0,572488.4,3480619.9
request_134,3610868.14,4388168.22,4451971.38
request_135,258.59,284.65,282.69
request_136,473.46,528.49,529.55
request_137,0.0,25494.87,26099.51
request_138,705.73,734.09,747.05
request_139,1170.09,1240.24,1243.31
request_140,1095.02,1564.19,1564.19
request_141,10055.22,18981.19,18624.38
request_142,1263.6,1263.6,1263.6
request_143,2116.27,2546.83,2501.88
request_144,170.6,233.34,233.34
request_145,20134.15,27057.82,27843.83
request_146,11344.63,16093.18,16093.18
request_147,449.17,479.02,479.02
request_148,6580.75,7076.47,7076.47
request_149,20922.72,22260.16,22509.46
request_150,129.13,255.86,253.22
request_151,26828614.08,26999000.0,26999000.0
request_152,10602.77,11055.98,11109.3
request_153,0.0,13.59,8.58
request_154,1625.8,1625.8,1625.8
request_155,112500.0,112500.0,112500.0
request_156,8144.07,8543.43,8490.11
request_157,4147140.63,4710339.55,4750705.23
request_158,242600.0,242600.0,242600.0
request_159,0.0,159.61,5174.38
request_160,550.49,570.29,570.29
request_161,4820088.52,6758652.93,6903855.23
request_162,771037.01,1333326.79,1177587.85
request_163,8020710.31,8770917.45,8865533.64
request_164,27018000.0,27018000.0,27018000.0
request_165,56005.46,80600.0,80600.0
request_166,2907.6,2907.6,2907.6
request_167,43802.0,43802.0,43802.0
request_168,22928.79,30989.72,30989.72
request_169,41976.0,41976.0,41976.0
request_170,28767442.91,30134936.0,29923520.45
request_171,16.71,34.86,31.74
request_172,8185.71,9162.52,9160.74
request_173,53700.11,55130.45,55110.55
request_174,963.72,1146.2,1146.2
request_175,2346.3,2346.3,2346.3
request_176,338.04,365.24,370.66
request_177,1017.6,1017.6,1017.6
request_178,2938.1,2938.1,2938.1
request_179,4632057.85,6474755.22,6474755.22
request_180,66500.0,66500.0,66500.0
request_181,0.0,287.07,290.75
request_182,65714.0,65714.0,65714.0
request_183,22269353.19,22905949.02,22999611.68
request_184,0.0,7631.21,7499.24
request_185,242.76,317.59,316.33
request_186,3482.93,4245.48,4339.5
request_187,36475.51,38314.3,37750.93
request_188,0.0,105.28,105.28
request_189,488.4,488.4,488.4
request_190,412.49,501.6,482.97
request_191,664.4,664.4,664.4
request_192,0.0,94.78,160.24
request_193,5.13,32.93,32.68
request_194,28465.89,33965.25,33622.55
request_195,900.01,963.37,962.61
request_196,762.3,762.3,762.3
request_197,46919789.28,50939000.0,50939000.0
request_198,185800.0,185800.0,185800.0
request_199,14290015.29,23674000.0,23674000.0
request_200,21717000.0,21717000.0,21717000.0
request_201,20763974.48,23997000.0,23997000.0
request_202,123900.0,123900.0,123900.0
request_203,1442.1,1442.1,1442.1
request_204,513.8,569.41,568.0
request_205,10621000.0,10621000.0,10621000.0
request_206,1404.7,1404.7,1404.7
request_207,4021.44,4335.94,4564.18
request_208,2793219.34,3023808.72,3045725.1
request_209,1125.79,1585.14,1596.57
request_210,768.82,830.87,830.87
request_211,169.9,272.3,264.59
request_212,2738651.3,4237748.3,4297470.34
request_213,1544.53,3362.4,3362.4
request_214,32139.43,39659.41,39994.08
request_215,19875.76,29986.0,29986.0
request_216,430.07,472.98,483.23
request_217,18788.19,19333.87,19532.75
request_218,23678664.28,24512439.25,24459217.7
request_219,683.0,697.51,703.23
request_220,45.04,67.68,67.68
request_221,109800.0,109800.0,109800.0
request_222,34078.0,34078.0,34078.0
request_223,898.7,898.7,898.7
request_224,9307723.95,9840591.09,10033020.82
request_225,8085506.28,9489876.56,9636373.35
request_226,157000.0,157000.0,157000.0
request_227,5767.24,7183.96,7161.65
request_228,1176708.58,1707845.93,1707845.93
request_229,318.57,356.09,370.02
request_230,3537.6,3537.6,3537.6
request_231,27533.99,30949.4,30892.08
request_232,143.05,576.62,657.52
request_233,3268341.2,3753923.27,3753923.27
request_234,161.69,183.23,184.51
request_235,967.2,967.2,967.2
request_236,5075211.87,6091310.8,5890616.78
request_237,16261739.48,23826000.0,23826000.0
request_238,663.6,663.6,663.6
request_239,642.0,642.0,642.0
request_240,9088.16,13780.66,13780.66
request_241,21052000.0,21052000.0,21052000.0
request_242,2.24,22.65,25.81
request_243,17468.0,17468.0,17468.0
request_244,49918.0,49918.0,49918.0
request_245,20419.25,24993.59,23606.83
request_246,64055.65,64086.0,64086.0
request_247,1045.37,1059.3,1059.3
request_248,910.19,933.54,936.23
request_249,92.43,126.48,126.86
request_250,14486.06,15480.52,15480.52
request_251,1513.6,1513.6,1513.6
request_252,3317183.31,3778044.18,3991159.2
request_253,1135.11,1191.41,1190.14
request_254,571.51,636.46,636.46
request_255,0.0,3345000.0,3345000.0
request_256,145428.34,151758.84,152377.93
request_257,71.14,306.13,313.88
request_258,790.24,1113.6,1113.6
request_259,157.04,172.47,171.98
request_260,5794087.8,6401399.59,6401399.59
request_261,1830.4,1830.4,1830.4
request_262,9236000.0,9236000.0,9236000.0
request_263,4450.31,5694.82,5785.25
request_264,22348.09,23323.45,23751.17
request_265,0.0,45970.0,45970.0
request_266,739.38,779.44,773.82
request_267,1539.53,1653.03,1642.25
request_268,1014.44,1046.91,1046.91
request_269,9031.32,10127.26,10100.35
request_270,51.89,109.86,96.95
request_271,10891.43,14167.52,13873.51
request_272,5166466.5,5397737.83,5409294.23
request_273,9179578.19,9545531.06,9553277.24
request_274,2011.62,2139.44,2114.77
request_275,15884000.0,15884000.0,15884000.0
