request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days. The lowest projected balance with this plan is INR 75,786.35 on 14 August 2026."
request_49,12215729.09,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available. The lowest projected balance with this plan is IDR 24,189,433.13 on 14 April 2024."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days. The lowest projected balance with this plan is INR 155,025.16 on 14 August 2025."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days. The lowest projected balance with this plan is IDR 29,548,456.68 on 4 January 2026."
request_52,19253.15,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum. The lowest projected balance with this plan is INR 54,738.87 on 10 July 2024."
request_53,467.68,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available. The lowest projected balance with this plan is USD 2,404.08 on 13 December 2025."
request_54,1755.58,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the ZAR 37,000 minimum protected. Without this purchase, the lowest projected balance is ZAR 38,755.58 on 12 July 2026."
request_55,113763.53,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,reduce_to:event_5103:2536,"Reduce the online retail purchases to INR 2,536, then use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available. The lowest projected balance with this plan is INR 126,617.98 on 14 August 2026."
request_56,635.29,affordable_with_plan,partial_payment,2025-02-03:635.29|2025-02-15:246.27,2025-02-15,none,"Pay USD 635.29 today and the remaining USD 246.27 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected. The lowest projected balance with this plan is USD 2,100 on 13 February 2025."
request_57,12595.87,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum. The lowest projected balance with this plan is ZAR 55,295.87 on 12 April 2026."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days. The lowest projected balance with this plan is IDR 20,842,756.26 on 14 December 2024."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available. The lowest projected balance with this plan is INR 184,085.24 on 16 July 2025."
request_60,119.05,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum. The lowest projected balance with this plan is USD 408.49 on 13 February 2026.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available. The lowest projected balance with this plan is ZAR 46,267.94 on 18 May 2024."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days. The lowest projected balance with this plan is USD 4,622.88 on 7 August 2025."
request_63,38396.01,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 September 2026. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the INR 153,500 minimum protected. Without this purchase, the lowest projected balance is INR 191,896.01 on 14 July 2026."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the INR 36,100 minimum protected. Even without this purchase, existing commitments take the balance below the minimum, to INR -1,293.04 on 13 June 2024."
request_65,5749.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the ZAR 15,500 minimum protected. Without this purchase, the lowest projected balance is ZAR 21,249.87 on 14 November 2025."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days. The lowest projected balance with this plan is INR 243,207.48 on 7 April 2026."
request_67,297.78,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum. The lowest projected balance with this plan is USD 1,497.78 on 13 September 2024."
request_68,1332.71,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available. The lowest projected balance with this plan is USD 1,791.47 on 12 April 2025."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days. The lowest projected balance with this plan is EUR 725.42 on 12 January 2026.
request_70,49190.01,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum. The lowest projected balance with this plan is INR 164,190.01 on 12 December 2024."
request_71,177469.35,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the IDR 8,884,800 minimum protected. Without this purchase, the lowest projected balance is IDR 9,062,269.35 on 14 May 2025."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days. The lowest projected balance with this plan is ZAR 12,560.16 on 12 July 2026."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days. The lowest projected balance with this plan is INR 104,330.19 on 12 February 2023."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days. The lowest projected balance with this plan is ZAR 63,645.21 on 7 August 2025."
request_75,24156.01,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,reduce_to:event_6998:991.10|stop:event_6960,"Reduce the quick-service meal to ZAR 991.10 and stop the family streaming plan, then use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available. The lowest projected balance with this plan is ZAR 39,606.10 on 4 July 2026."
request_76,735.24,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with the USD 4,455.60 request. A single full payment would be safe from 15 August 2024, but the user does not consider full payment, and none of the methods they accept (partial payment) gives a safe plan within their limits. Without this purchase, the lowest projected balance is USD 2,535.24 on 14 June 2024."
request_77,60538.85,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"Stop the online backup subscription, then pay INR 60,700 today. This leaves at least INR 82,200 available. The lowest projected balance with this plan is INR 82,743.85 on 13 November 2025."
request_78,45556.92,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Pay INR 50,200 in full on 15 October 2025. Paying earlier would take the balance below the INR 55,200 minimum. The lowest projected balance with this plan is INR 57,192.49 on 14 November 2025."
request_79,299.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 November 2024. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the EUR 1,000 minimum protected. Without this purchase, the lowest projected balance is EUR 1,299.67 on 14 September 2024."
request_80,110338.72,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with the INR 217,500 request. A single full payment would be safe from 15 April 2025, but the user does not consider full payment, and none of the methods they accept (installments) gives a safe plan within their limits. Without this purchase, the lowest projected balance is INR 231,638.72 on 12 February 2025."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days. The lowest projected balance with this plan is USD 1,629.98 on 13 August 2026."
request_82,312.25,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"Pay USD 1,405.20 in full on 15 January 2025. Paying earlier would take the balance below the USD 1,100 minimum. The lowest projected balance with this plan is USD 1,412.25 on 13 December 2024."
request_83,7202.23,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the INR 37,800 minimum protected. Without this purchase, the lowest projected balance is INR 45,002.23 on 14 May 2025."
request_84,22882.55,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum. The lowest projected balance with this plan is INR 114,182.55 on 13 April 2026."
request_85,444183.52,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the IDR 6,396,300 minimum protected. Without this purchase, the lowest projected balance is IDR 6,840,483.52 on 14 March 2024."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days. The lowest projected balance with this plan is INR 88,974.01 on 16 August 2025."
request_87,16153.19,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the INR 185,900 minimum protected. Without this purchase, the lowest projected balance is INR 202,053.19 on 14 January 2026."
request_88,10734,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available. The lowest projected balance with this plan is ZAR 27,488.77 on 14 June 2024."
request_89,9314843.97,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available. The lowest projected balance with this plan is IDR 12,982,690.18 on 13 January 2026."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days. The lowest projected balance with this plan is ZAR 26,773.96 on 13 July 2026."
request_91,288.54,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum. The lowest projected balance with this plan is EUR 2,388.54 on 14 September 2024."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days. The lowest projected balance with this plan is ZAR 29,701.89 on 13 February 2025."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days. The lowest projected balance with this plan is USD 1,998.80 on 12 April 2026."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days. The lowest projected balance with this plan is EUR 1,913.62 on 13 December 2024."
request_95,3427.74,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the INR 145,500 minimum protected. Without this purchase, the lowest projected balance is INR 148,927.74 on 20 May 2025."
request_96,72420.25,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available. The lowest projected balance with this plan is INR 63,850.77 on 12 March 2026."
request_97,1423.55,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available. The lowest projected balance with this plan is ZAR 31,123.55 on 11 March 2024."
request_98,6500.22,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum. The lowest projected balance with this plan is ZAR 36,500.22 on 13 August 2025."
request_99,17836.66,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9188:525.80,"Reduce the family streaming plan to ZAR 525.80, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available. The lowest projected balance with this plan is ZAR 49,400.46 on 12 July 2026."
request_100,25122.03,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available. The lowest projected balance with this plan is ZAR 36,524.02 on 14 August 2024."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days. The lowest projected balance with this plan is INR 194,853.81 on 14 November 2025."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available. The lowest projected balance with this plan is EUR 3,739.78 on 13 April 2026."
request_103,756.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the INR 125,500 minimum protected. Without this purchase, the lowest projected balance is INR 126,256.26 on 14 September 2024."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days. The lowest projected balance with this plan is ZAR 29,386.65 on 12 February 2025."
request_105,51266.78,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,"Reduce the household shopping to INR 1,632, then pay INR 53,500 today. This leaves at least INR 73,900 available. The lowest projected balance with this plan is INR 74,114.78 on 14 June 2026."
request_106,459.88,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum. The lowest projected balance with this plan is EUR 1,659.88 on 12 December 2024."
request_107,2428.56,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-06-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available. The lowest projected balance with this plan is EUR 1,621.28 on 13 July 2025."
request_108,2060.73,affordable_later,wait,2026-09-15:55308,2026-09-15,none,"Pay ZAR 55,308 in full on 15 September 2026. Paying earlier would take the balance below the ZAR 24,100 minimum. The lowest projected balance with this plan is ZAR 26,160.73 on 13 July 2026."
request_109,480.05,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available. The lowest projected balance with this plan is EUR 1,860.22 on 14 May 2024."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available. The lowest projected balance with this plan is ZAR 52,236.44 on 7 August 2025."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days. The lowest projected balance with this plan is IDR 28,492,433.92 on 14 June 2026."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days. The lowest projected balance with this plan is EUR 517.85 on 12 June 2024.
request_113,18841.69,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 15 October 2026. Paying earlier would take the balance below the INR 82,300 minimum. The lowest projected balance with this plan is INR 101,141.69 on 14 September 2026."
request_114,56562.79,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Pay INR 65,300 in full on 15 January 2026. Paying earlier would take the balance below the INR 113,400 minimum. The lowest projected balance with this plan is INR 125,513.78 on 13 February 2026."
request_115,14415.95,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum. The lowest projected balance with this plan is INR 53,215.95 on 13 September 2024."
request_116,9748.02,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the INR 80,300 minimum protected. Without this purchase, the lowest projected balance is INR 90,048.02 on 14 February 2025."
request_117,847.74,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10878:20.50|stop:event_10833,"Reduce the weekend food delivery to EUR 20.50 and stop the family streaming plan, then pay EUR 880 today. This leaves at least EUR 1,000 available. The lowest projected balance with this plan is EUR 1,010.24 on 12 July 2026."
request_118,652.40,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available. The lowest projected balance with this plan is EUR 996.53 on 14 December 2024."
request_119,58688.62,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 18 May 2025. This leaves at least INR 151,200 available. The lowest projected balance with this plan is INR 153,912.69 on 14 July 2025."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days. The lowest projected balance with this plan is IDR 20,853,621.56 on 11 April 2026."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days. The lowest projected balance with this plan is USD 852.20 on 14 March 2024.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available. The lowest projected balance with this plan is IDR 46,310,501.99 on 13 August 2025."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days. The lowest projected balance with this plan is IDR 18,305,502.26 on 4 April 2026."
request_124,1403.32,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,stop:event_11448,"Stop the music service subscription, then use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available. The lowest projected balance with this plan is EUR 1,641.05 on 12 August 2024."
request_125,5767.32,affordable_later,wait,2025-11-15:6468,2025-11-15,none,"Pay ZAR 6,468 in full on 15 November 2025. Paying earlier would take the balance below the ZAR 11,300 minimum. The lowest projected balance with this plan is ZAR 13,064.51 on 14 December 2025."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days. The lowest projected balance with this plan is INR 185,913.67 on 7 July 2026."
request_127,7255.44,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980 in full on 15 October 2024. Paying earlier would take the balance below the ZAR 41,000 minimum. The lowest projected balance with this plan is ZAR 46,743.85 on 14 November 2024."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days. The lowest projected balance with this plan is ZAR 43,871.96 on 13 February 2025."
request_129,109.51,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 June 2026. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the USD 800 minimum protected. Without this purchase, the lowest projected balance is USD 909.51 on 12 April 2026."
request_130,366.17,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,"Pay USD 1,978.80 in full on 15 January 2025. Paying earlier would take the balance below the USD 1,400 minimum. The lowest projected balance with this plan is USD 1,766.17 on 14 December 2024."
request_131,1138.46,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available. The lowest projected balance with this plan is USD 1,241.33 on 15 July 2025."
request_132,256.36,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum. The lowest projected balance with this plan is USD 1,106.85 on 13 February 2026."
request_133,572488.40,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the IDR 9,986,200 minimum protected. Without this purchase, the lowest projected balance is IDR 10,558,688.40 on 2 June 2024."
request_134,4388168.22,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum. The lowest projected balance with this plan is IDR 20,290,668.22 on 14 August 2025."
request_135,284.65,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop the video streaming plan, then pay USD 304.80 today. This leaves at least USD 500 available. The lowest projected balance with this plan is USD 502.85 on 14 July 2026."
request_136,528.49,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available. The lowest projected balance with this plan is USD 1,108.89 on 14 June 2024."
request_137,25494.87,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum. The lowest projected balance with this plan is INR 97,294.87 on 12 November 2025."
